날짜시간,앙상블예측(MW),발전량기준(MW),XGB예측(MW),LGB예측(MW)
2026-05-19 21:40:00,66222.2,76089.4,66153.3,66254.5
2026-05-19 21:45:00,66036.1,75875.5,66064.8,66022.7
2026-05-19 21:50:00,65840.9,75651.2,65820.4,65850.5
2026-05-19 21:55:00,65610.7,75386.7,65620.8,65605.9
2026-05-19 22:00:00,65322.4,75055.4,65314.0,65326.3
2026-05-19 22:05:00,65272.6,74998.2,65246.1,65285.0
2026-05-19 22:10:00,65179.9,74891.7,65137.8,65199.6
2026-05-19 22:15:00,64970.6,74651.2,64973.9,64969.0
2026-05-19 22:20:00,64794.5,74448.9,64823.2,64781.0
2026-05-19 22:25:00,64588.9,74212.6,64541.5,64611.1
2026-05-19 22:30:00,64427.4,74027.1,64373.9,64452.5
2026-05-19 22:35:00,64301.4,73882.4,64256.7,64322.4
2026-05-19 22:40:00,64132.9,73688.7,64153.8,64123.1
2026-05-19 22:45:00,63980.1,73513.2,63962.2,63988.5
2026-05-19 22:50:00,63764.0,73264.8,63778.9,63757.0
2026-05-19 22:55:00,63616.8,73095.7,63613.5,63618.3
2026-05-19 23:00:00,63534.8,73001.5,63627.2,63491.5
2026-05-19 23:05:00,63859.1,73374.1,63936.3,63823.0
2026-05-19 23:10:00,63770.1,73271.9,63829.0,63742.6
2026-05-19 23:15:00,63573.5,73045.9,63588.9,63566.3
2026-05-19 23:20:00,63376.9,72820.1,63360.7,63384.5
2026-05-19 23:25:00,63179.7,72593.5,63159.3,63189.3
2026-05-19 23:30:00,62836.4,72199.1,62803.5,62851.8
2026-05-19 23:35:00,62498.1,71810.3,62478.9,62507.1
2026-05-19 23:40:00,62189.8,71456.1,62192.1,62188.8
2026-05-19 23:45:00,61825.9,71037.9,61789.2,61843.1
2026-05-19 23:50:00,61410.3,70560.4,61436.9,61397.8
2026-05-19 23:55:00,60883.3,69955.0,60947.7,60853.2
2026-05-20 00:00:00,60242.1,69218.2,60275.2,60226.6
2026-05-20 00:05:00,60120.4,69078.3,60089.8,60134.7
2026-05-20 00:10:00,59882.4,68804.9,59858.3,59893.7
2026-05-20 00:15:00,59558.4,68432.6,59507.0,59582.5
2026-05-20 00:20:00,59206.8,68028.6,59263.4,59180.3
2026-05-20 00:25:00,58912.9,67690.9,58927.6,58906.0
2026-05-20 00:30:00,58643.2,67381.0,58677.9,58626.9
2026-05-20 00:35:00,58406.3,67108.8,58435.0,58392.8
2026-05-20 00:40:00,58217.9,66892.4,58156.4,58246.7
2026-05-20 00:45:00,58020.3,66665.3,57987.4,58035.7
2026-05-20 00:50:00,57825.6,66441.6,57781.8,57846.1
2026-05-20 00:55:00,57647.4,66236.9,57556.4,57690.0
2026-05-20 01:00:00,57516.6,66086.5,57434.4,57555.0
2026-05-20 01:05:00,57364.1,65911.4,57412.6,57341.5
2026-05-20 01:10:00,57251.8,65782.4,57213.9,57269.6
2026-05-20 01:15:00,57166.9,65684.8,57124.0,57187.0
2026-05-20 01:20:00,57096.0,65603.3,57074.6,57106.0
2026-05-20 01:25:00,57038.1,65536.7,57043.9,57035.4
2026-05-20 01:30:00,56950.1,65435.7,56958.4,56946.2
2026-05-20 01:35:00,56830.0,65297.7,56861.0,56815.5
2026-05-20 01:40:00,56757.7,65214.6,56785.1,56744.8
2026-05-20 01:45:00,56681.8,65127.4,56701.5,56672.6
