날짜시간,앙상블예측(MW),발전량기준(MW),XGB예측(MW),LGB예측(MW)
2026-05-19 21:40:00,66223.9,76091.3,66166.5,66250.8
2026-05-19 21:45:00,66037.8,75877.4,66077.9,66019.0
2026-05-19 21:50:00,65842.0,75652.5,65833.6,65846.0
2026-05-19 21:55:00,65611.1,75387.1,65631.5,65601.5
2026-05-19 22:00:00,65327.0,75060.7,65324.3,65328.2
2026-05-19 22:05:00,65268.0,74993.0,65252.1,65275.5
2026-05-19 22:10:00,65178.0,74889.5,65145.1,65193.3
2026-05-19 22:15:00,64973.6,74654.7,64981.6,64969.9
2026-05-19 22:20:00,64796.4,74451.0,64823.0,64783.9
2026-05-19 22:25:00,64589.1,74212.8,64547.4,64608.6
2026-05-19 22:30:00,64430.9,74031.1,64383.8,64452.9
2026-05-19 22:35:00,64303.6,73884.8,64264.5,64321.9
2026-05-19 22:40:00,64136.7,73693.0,64162.5,64124.6
2026-05-19 22:45:00,63987.1,73521.1,63971.6,63994.3
2026-05-19 22:50:00,63795.8,73301.4,63878.2,63757.2
2026-05-19 22:55:00,63619.3,73098.5,63625.7,63616.3
2026-05-19 23:00:00,63544.3,73012.4,63624.2,63506.8
2026-05-19 23:05:00,63863.8,73379.5,63932.6,63831.6
2026-05-19 23:10:00,63778.1,73281.1,63827.0,63755.2
2026-05-19 23:15:00,63576.3,73049.2,63592.1,63568.9
2026-05-19 23:20:00,63376.0,72819.0,63363.9,63381.6
2026-05-19 23:25:00,63182.4,72596.6,63162.4,63191.7
2026-05-19 23:30:00,62841.8,72205.2,62808.8,62857.2
2026-05-19 23:35:00,62503.1,71816.1,62483.1,62512.5
2026-05-19 23:40:00,62194.7,71461.7,62196.3,62193.9
2026-05-19 23:45:00,61830.7,71043.5,61793.4,61848.2
2026-05-19 23:50:00,61451.4,70607.6,61438.6,61457.3
2026-05-19 23:55:00,60986.1,70073.1,61051.9,60955.3
2026-05-20 00:00:00,60338.1,69328.5,60363.1,60326.4
2026-05-20 00:05:00,60173.1,69138.8,60153.7,60182.1
2026-05-20 00:10:00,59913.5,68840.6,59858.8,59939.2
2026-05-20 00:15:00,59588.9,68467.7,59591.7,59587.7
2026-05-20 00:20:00,59207.6,68029.5,59264.6,59180.8
2026-05-20 00:25:00,58913.5,67691.6,58928.1,58906.7
2026-05-20 00:30:00,58644.0,67381.9,58680.7,58626.7
2026-05-20 00:35:00,58405.4,67107.8,58434.7,58391.7
2026-05-20 00:40:00,58220.8,66895.7,58172.7,58243.3
2026-05-20 00:45:00,58018.0,66662.6,57987.4,58032.3
2026-05-20 00:50:00,57826.2,66442.3,57791.1,57842.7
2026-05-20 00:55:00,57635.5,66223.1,57558.3,57671.6
2026-05-20 01:00:00,57515.5,66085.3,57431.9,57554.6
2026-05-20 01:05:00,57364.3,65911.6,57414.3,57340.9
2026-05-20 01:10:00,57249.7,65779.9,57211.7,57267.4
2026-05-20 01:15:00,57167.4,65685.4,57125.4,57187.1
2026-05-20 01:20:00,57097.4,65605.0,57075.9,57107.5
2026-05-20 01:25:00,57039.6,65538.4,57045.3,57036.9
2026-05-20 01:30:00,56950.8,65436.4,56959.0,56946.9
2026-05-20 01:35:00,56830.0,65297.7,56861.6,56815.2
2026-05-20 01:40:00,56757.9,65214.8,56785.8,56744.8
2026-05-20 01:45:00,56682.1,65127.8,56702.4,56672.6
2026-05-20 01:50:00,56602.2,65036.0,56594.9,56605.7
2026-05-20 01:55:00,56532.5,64955.8,56520.3,56538.2
2026-05-20 02:00:00,56449.3,64860.3,56420.3,56463.0
2026-05-20 02:05:00,56448.7,64859.5,56493.8,56427.5
2026-05-20 02:10:00,56412.2,64817.6,56452.8,56393.2
2026-05-20 02:15:00,56363.2,64761.3,56349.2,56369.8
2026-05-20 02:20:00,56296.9,64685.1,56346.4,56273.7
2026-05-20 02:25:00,56274.3,64659.2,56245.4,56287.8
2026-05-20 02:30:00,56268.0,64652.0,56229.1,56286.3
2026-05-20 02:35:00,56235.2,64614.3,56254.9,56226.0
2026-05-20 02:40:00,56204.3,64578.8,56140.5,56234.2
2026-05-20 02:45:00,56169.7,64539.0,56165.1,56171.8
2026-05-20 02:50:00,56166.9,64535.8,56133.5,56182.6
2026-05-20 02:55:00,56181.0,64551.9,56145.7,56197.5
2026-05-20 03:00:00,56158.5,64526.2,56139.5,56167.5
2026-05-20 03:05:00,56149.3,64515.5,56200.5,56125.3
2026-05-20 03:10:00,56133.5,64497.4,56180.4,56111.6
2026-05-20 03:15:00,56128.1,64491.2,56159.7,56113.3
2026-05-20 03:20:00,56086.5,64443.4,56157.6,56053.2
2026-05-20 03:25:00,56053.7,64405.7,56048.0,56056.4
2026-05-20 03:30:00,56057.2,64409.8,56034.2,56068.0
2026-05-20 03:35:00,56083.2,64439.5,56064.8,56091.8
2026-05-20 03:40:00,56066.9,64420.8,56044.6,56077.3
2026-05-20 03:45:00,56068.1,64422.3,56048.4,56077.4
2026-05-20 03:50:00,56066.9,64420.9,56045.0,56077.2
2026-05-20 03:55:00,56069.7,64424.1,56044.6,56081.5
2026-05-20 04:00:00,56170.8,64540.3,56081.2,56212.8
2026-05-20 04:05:00,56327.9,64720.8,56274.4,56353.0
2026-05-20 04:10:00,56397.9,64801.2,56343.1,56423.6
2026-05-20 04:15:00,56480.6,64896.2,56419.5,56509.2
2026-05-20 04:20:00,56568.5,64997.3,56537.2,56583.2
2026-05-20 04:25:00,56643.1,65082.9,56658.3,56636.0
2026-05-20 04:30:00,56713.7,65164.0,56708.3,56716.2
2026-05-20 04:35:00,56800.8,65264.2,56754.0,56822.8
2026-05-20 04:40:00,56839.9,65309.0,56815.1,56851.5
2026-05-20 04:45:00,56917.3,65398.0,56932.3,56910.3
2026-05-20 04:50:00,56995.9,65488.2,57007.4,56990.5
2026-05-20 04:55:00,57053.3,65554.2,57005.9,57075.5
2026-05-20 05:00:00,57175.5,65694.7,57171.2,57177.6
2026-05-20 05:05:00,57340.1,65883.8,57333.4,57343.3
2026-05-20 05:10:00,57444.9,66004.2,57466.1,57435.0
2026-05-20 05:15:00,57582.6,66162.4,57544.2,57600.6
2026-05-20 05:20:00,57712.2,66311.4,57738.0,57700.2
2026-05-20 05:25:00,57768.3,66375.8,57812.7,57747.5
2026-05-20 05:30:00,57862.6,66484.1,57897.3,57846.3
2026-05-20 05:35:00,58033.9,66681.0,58067.2,58018.3
2026-05-20 05:40:00,58131.8,66793.4,58099.6,58146.9
2026-05-20 05:45:00,58228.7,66904.8,58185.8,58248.8
2026-05-20 05:50:00,58365.5,67062.0,58391.2,58353.5
2026-05-20 05:55:00,58490.1,67205.1,58478.4,58495.5
2026-05-20 06:00:00,58722.2,67471.8,58712.0,58727.0
2026-05-20 06:05:00,59143.4,67955.8,59143.8,59143.3
2026-05-20 06:10:00,59349.7,68192.8,59302.0,59372.0
2026-05-20 06:15:00,59559.1,68433.4,59592.3,59543.5
2026-05-20 06:20:00,59685.6,68578.7,59714.7,59671.9
2026-05-20 06:25:00,59820.9,68734.3,59807.8,59827.1
2026-05-20 06:30:00,59987.0,68925.1,59986.6,59987.2
2026-05-20 06:35:00,60193.3,69162.1,60155.2,60211.1
2026-05-20 06:40:00,60372.2,69367.6,60379.6,60368.7
2026-05-20 06:45:00,60524.5,69542.6,60566.7,60504.7
2026-05-20 06:50:00,60624.2,69657.2,60677.8,60599.1
2026-05-20 06:55:00,60727.8,69776.3,60756.1,60714.6
2026-05-20 07:00:00,61029.1,70122.4,61026.5,61030.3
2026-05-20 07:05:00,61585.6,70761.9,61451.9,61648.3
2026-05-20 07:10:00,61848.3,71063.7,61798.0,61871.8
2026-05-20 07:15:00,62115.1,71370.3,62125.1,62110.5
2026-05-20 07:20:00,62317.7,71603.0,62372.8,62291.8
2026-05-20 07:25:00,62537.1,71855.1,62527.0,62541.8
2026-05-20 07:30:00,62632.1,71964.3,62655.7,62621.1
2026-05-20 07:35:00,62813.8,72173.0,62832.7,62804.9
2026-05-20 07:40:00,62891.7,72262.5,62953.0,62862.9
2026-05-20 07:45:00,62999.7,72386.7,63038.8,62981.4
